epoch=190000,train accuracy=0.78571427,test accuracy=0.50364965,train loss=2.7299957,test loss=3.0144918
epoch=192000,train accuracy=0.78651685,test accuracy=0.5060827,train loss=2.729478,test loss=3.0148127
epoch=194000,train accuracy=0.78651685,test accuracy=0.50364965,train loss=2.729437,test loss=3.0152009
epoch=196000,train accuracy=0.7873194,test accuracy=0.50851583,train loss=2.728682,test loss=3.0103035
epoch=198000,train accuracy=0.7873194,test accuracy=0.50851583,train loss=2.7287247,test loss=3.0087006
epoch=200000,train accuracy=0.7873194,test accuracy=0.50851583,train loss=2.7286894,test loss=3.0084667
epoch=202000,train accuracy=0.7873194,test accuracy=0.5060827,train loss=2.7287102,test loss=3.008881
epoch=204000,train accuracy=0.7873194,test accuracy=0.5109489,train loss=2.7286818,test loss=3.0079696
epoch=206000,train accuracy=0.7873194,test accuracy=0.5060827,train loss=2.7286656,test loss=3.007967
epoch=208000,train accuracy=0.7873194,test accuracy=0.5060827,train loss=2.7286217,test loss=3.0063052
epoch=210000,train accuracy=0.788122,test accuracy=0.5060827,train loss=2.7278504,test loss=3.0048256
epoch=212000,train accuracy=0.788122,test accuracy=0.5158151,train loss=2.7278352,test loss=3.0036037
epoch=214000,train accuracy=0.7889246,test accuracy=0.5158151,train loss=2.7273436,test loss=3.0034344
epoch=216000,train accuracy=0.7889246,test accuracy=0.5182482,train loss=2.7270942,test loss=3.0013344
epoch=218000,train accuracy=0.7889246,test accuracy=0.5158151,train loss=2.727004,test loss=3.0016112
epoch=220000,train accuracy=0.78972715,test accuracy=0.5231144,train loss=2.7262578,test loss=2.999521
epoch=222000,train accuracy=0.78972715,test accuracy=0.52068126,train loss=2.726213,test loss=2.9987044
epoch=224000,train accuracy=0.78972715,test accuracy=0.5109489,train loss=2.7262309,test loss=3.0007641
epoch=226000,train accuracy=0.78972715,test accuracy=0.5158151,train loss=2.7260978,test loss=2.9989626
epoch=228000,train accuracy=0.79052967,test accuracy=0.5158151,train loss=2.7255762,test loss=2.9996674
epoch=230000,train accuracy=0.79052967,test accuracy=0.5158151,train loss=2.7254896,test loss=3.0001216
epoch=232000,train accuracy=0.79052967,test accuracy=0.513382,train loss=2.7254395,test loss=2.9997823
epoch=234000,train accuracy=0.79052967,test accuracy=0.5158151,train loss=2.725463,test loss=2.99948
epoch=236000,train accuracy=0.79052967,test accuracy=0.5109489,train loss=2.7253401,test loss=3.0009625
epoch=238000,train accuracy=0.79133224,test accuracy=0.5182482,train loss=2.7244055,test loss=2.9999135
epoch=240000,train accuracy=0.79454255,test accuracy=0.52068126,train loss=2.7224262,test loss=2.9983974
epoch=242000,train accuracy=0.79454255,test accuracy=0.5182482,train loss=2.7217693,test loss=2.997999
epoch=244000,train accuracy=0.79454255,test accuracy=0.52068126,train loss=2.7216723,test loss=2.9980924
epoch=246000,train accuracy=0.79454255,test accuracy=0.52068126,train loss=2.7216065,test loss=2.997688
epoch=248000,train accuracy=0.79454255,test accuracy=0.52068126,train loss=2.7212832,test loss=2.9972754
epoch=250000,train accuracy=0.7953451,test accuracy=0.5182482,train loss=2.7207394,test loss=2.9982994
epoch=252000,train accuracy=0.7953451,test accuracy=0.5158151,train loss=2.7207053,test loss=2.997868
epoch=254000,train accuracy=0.7953451,test accuracy=0.5158151,train loss=2.720672,test loss=2.9979026
epoch=256000,train accuracy=0.7953451,test accuracy=0.5158151,train loss=2.7206783,test loss=2.9986894
epoch=258000,train accuracy=0.7953451,test accuracy=0.5182482,train loss=2.7206454,test loss=2.9970665
epoch=260000,train accuracy=0.79614764,test accuracy=0.52068126,train loss=2.7199407,test loss=2.9950397
epoch=262000,train accuracy=0.79614764,test accuracy=0.5182482,train loss=2.7199008,test loss=2.9961917
epoch=264000,train accuracy=0.79614764,test accuracy=0.52068126,train loss=2.719879,test loss=2.9951198
epoch=266000,train accuracy=0.79614764,test accuracy=0.52068126,train loss=2.719815,test loss=2.9944775
epoch=268000,train accuracy=0.7969502,test accuracy=0.5231144,train loss=2.7191882,test loss=2.995007
epoch=270000,train accuracy=0.7969502,test accuracy=0.52068126,train loss=2.7190635,test loss=2.9946847
epoch=272000,train accuracy=0.7969502,test accuracy=0.52068126,train loss=2.7190056,test loss=2.9947596
epoch=274000,train accuracy=0.7969502,test accuracy=0.5231144,train loss=2.7189755,test loss=2.9944565
epoch=276000,train accuracy=0.7969502,test accuracy=0.52554744,train loss=2.7189002,test loss=2.9930096
epoch=278000,train accuracy=0.7969502,test accuracy=0.52554744,train loss=2.7188718,test loss=2.9927542
epoch=280000,train accuracy=0.7977528,test accuracy=0.52554744,train loss=2.7185416,test loss=2.9939785
epoch=282000,train accuracy=0.7977528,test accuracy=0.52554744,train loss=2.7185626,test loss=2.9922547
epoch=284000,train accuracy=0.7977528,test accuracy=0.52554744,train loss=2.718407,test loss=2.9934824
epoch=286000,train accuracy=0.7977528,test accuracy=0.52554744,train loss=2.7183166,test loss=2.9923215
epoch=288000,train accuracy=0.7977528,test accuracy=0.52554744,train loss=2.7183506,test loss=2.9928527
epoch=290000,train accuracy=0.7985554,test accuracy=0.5231144,train loss=2.7179968,test loss=2.9938147
epoch=292000,train accuracy=0.7985554,test accuracy=0.5279805,train loss=2.7174904,test loss=2.9923928
epoch=294000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.717511,test loss=2.9926589
epoch=296000,train accuracy=0.7985554,test accuracy=0.5279805,train loss=2.717493,test loss=2.9916933
epoch=298000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7174685,test loss=2.9928403
epoch=300000,train accuracy=0.7985554,test accuracy=0.5279805,train loss=2.7174733,test loss=2.9920497
epoch=302000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.717462,test loss=2.992571
epoch=304000,train accuracy=0.7985554,test accuracy=0.5279805,train loss=2.7174547,test loss=2.9923306
epoch=306000,train accuracy=0.7985554,test accuracy=0.5279805,train loss=2.7174673,test loss=2.9912605
epoch=308000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7174497,test loss=2.9914474
epoch=310000,train accuracy=0.7985554,test accuracy=0.5231144,train loss=2.717471,test loss=2.992571
epoch=312000,train accuracy=0.7985554,test accuracy=0.5279805,train loss=2.7174242,test loss=2.9916053
epoch=314000,train accuracy=0.7985554,test accuracy=0.5279805,train loss=2.717466,test loss=2.9903867
epoch=316000,train accuracy=0.7985554,test accuracy=0.5231144,train loss=2.717433,test loss=2.993156
epoch=318000,train accuracy=0.7985554,test accuracy=0.5279805,train loss=2.7174315,test loss=2.9925125
epoch=320000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7174327,test loss=2.992185
epoch=322000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7174163,test loss=2.9907393
epoch=324000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.717403,test loss=2.9919326
epoch=326000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.717419,test loss=2.9927783
epoch=328000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7174227,test loss=2.9916852
epoch=330000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7174106,test loss=2.9918683
epoch=332000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7174337,test loss=2.9919329
epoch=334000,train accuracy=0.7985554,test accuracy=0.5279805,train loss=2.7173822,test loss=2.9929261
epoch=336000,train accuracy=0.7985554,test accuracy=0.5279805,train loss=2.7173843,test loss=2.9916232
epoch=338000,train accuracy=0.7985554,test accuracy=0.5279805,train loss=2.717402,test loss=2.9917052
epoch=340000,train accuracy=0.7985554,test accuracy=0.5279805,train loss=2.7173977,test loss=2.9916863
epoch=342000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173936,test loss=2.9923227
epoch=344000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173898,test loss=2.9923048
epoch=346000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173824,test loss=2.9927013
epoch=348000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.717378,test loss=2.9923837
epoch=350000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173898,test loss=2.9919
epoch=352000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173855,test loss=2.9924026
epoch=354000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.717398,test loss=2.992131
epoch=356000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7174027,test loss=2.991537
epoch=358000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173686,test loss=2.9927194
epoch=360000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173676,test loss=2.9921558
epoch=362000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173777,test loss=2.9921825
epoch=364000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173655,test loss=2.992153
epoch=366000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173574,test loss=2.9921904
epoch=368000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173743,test loss=2.9922898
epoch=370000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173715,test loss=2.9918253
epoch=372000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173529,test loss=2.9922287
epoch=374000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173793,test loss=2.9921744
epoch=376000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173939,test loss=2.9924252
epoch=378000,train accuracy=0.7985554,test accuracy=0.52554744,train loss=2.7173584,test loss=2.9915261
